caldt,vwretd,vwindd,vwretx,vwindx
19291231,-0.150955,2.542638,-0.182395,17.626960
19301231,-0.289005,1.807804,-0.321455,11.960690
19311231,-0.443873,1.005368,-0.476969,6.255809
19321231,-0.079449,0.925493,-0.140668,5.375813
19331230,0.574131,1.456847,0.509127,8.112785
19341231,0.031843,1.503237,-0.009584,8.035035
19351231,0.454487,2.186439,0.395966,11.216640
19361231,0.323153,2.892992,0.266819,14.209450
19371231,-0.346044,1.891891,-0.380995,8.795719
19381231,0.284359,2.429867,0.230260,10.821020
19391230,0.018435,2.474661,-0.028978,10.507440
19401231,-0.075104,2.288803,-0.127508,9.167662
19411231,-0.100387,2.059037,-0.161102,7.690732
19421231,0.167218,2.403344,0.090504,8.386778
19431231,0.279687,3.075529,0.215980,10.198150
19441230,0.213640,3.732583,0.154754,11.776360
19451231,0.390593,5.190504,0.335428,15.726480
19461231,-0.064212,4.857213,-0.101652,14.127850
19471231,0.032933,5.017174,-0.022830,13.805310
19481231,0.021313,5.124106,-0.040738,13.242920
19491231,0.201096,6.154541,0.121244,14.848540
19501230,0.304730,8.030018,0.217426,18.077000
19511231,0.209441,9.711834,0.142646,20.655620
19521231,0.133324,11.006650,0.074015,22.184440
19531231,0.003843,11.048950,-0.050273,21.069150
19541231,0.504120,16.618950,0.433636,30.205500
19551230,0.254135,20.842410,0.204040,36.368610
19561231,0.085817,22.631050,0.043745,37.959550
19571231,-0.103484,20.289110,-0.140687,32.619140
19581231,0.447759,29.373730,0.392664,45.427490
19591231,0.126462,33.088390,0.090692,49.547410
19601230,0.012089,33.488390,-0.021911,48.461750
19611229,0.269605,42.517020,0.233137,59.759960
19621231,-0.103122,38.132580,-0.132913,51.817090
19631231,0.208876,46.097540,0.170997,60.677640
19641231,0.163038,53.613170,0.128491,68.474170
19651231,0.143859,61.325890,0.109939,76.002140
19661230,-0.086888,55.997410,-0.116818,67.123710
19671229,0.285666,71.993980,0.247259,83.720660
19681231,0.141689,82.194750,0.109209,92.863690
19691231,-0.108362,73.287930,-0.135110,80.316890
19701231,0.000731,73.341480,-0.034063,77.581030
19711231,0.161989,85.222020,0.128146,87.522760
19721229,0.173406,100.000000,0.142560,100.000000
19731231,-0.187489,81.251060,-0.211780,78.821990
19741231,-0.279412,58.548560,-0.310612,54.338960
19751231,0.373580,80.421170,0.318180,71.628520
19761231,0.267802,101.958100,0.219255,87.333420
19771230,-0.029697,98.930240,-0.072922,80.964850
19781229,0.085462,107.385000,0.032911,83.629490
19791231,0.244143,133.602200,0.182911,98.926250
19801231,0.332396,178.011000,0.271273,125.762300
19811231,-0.039868,170.914100,-0.083569,115.252400
19821231,0.204217,205.817700,0.142451,131.670200
19831230,0.226439,252.422900,0.178813,155.214500
19841231,0.031649,260.411700,-0.011460,153.435700
19851231,0.314113,342.210200,0.264614,194.037000
19861231,0.155616,395.463500,0.117880,216.910000
19871231,0.018309,402.704100,-0.013574,213.965800
19881230,0.175565,473.405000,0.129842,241.747600
19891229,0.284313,608.000400,0.240259,299.829700
19901231,-0.060845,571.006500,-0.093885,271.680100
19911231,0.336457,763.125500,0.296356,352.194000
19921231,0.090664,832.313400,0.061186,373.743500
19931231,0.115897,928.775800,0.087994,406.630800
19941230,-0.007580,921.735700,-0.032841,393.276600
19951229,0.356824,1250.63300,0.325181,521.162800
19961231,0.211764,1515.47200,0.187666,618.967000
19971231,0.303524,1975.45400,0.281866,793.432900
19981231,0.222598,2415.18700,0.205019,956.101400
19991231,0.252658,3025.40200,0.236461,1182.18200
20001229,-0.111594,2687.78500,-0.121405,1038.66000
20011231,-0.112682,2384.92000,-0.124472,909.375800
20021231,-0.208386,1887.93600,-0.221066,708.343500
20031231,0.331311,2513.43000,0.307751,926.337000
20041231,0.129976,2840.11600,0.108473,1026.81900
20051230,0.073069,3047.64000,0.053800,1082.06200
20061229,0.162148,3541.80800,0.140519,1234.11200
20071231,0.072829,3799.75400,0.052788,1299.25800
20081231,-0.383043,2344.28600,-0.397344,783.006500
20091231,0.316155,3085.44200,0.283971,1005.35700
20101231,0.178922,3637.49500,0.154068,1160.25100
20111230,-0.008992,3604.78800,-0.029380,1126.16300
20121231,0.159796,4180.81900,0.131174,1273.88600
20131231,0.316749,5505.09100,0.288799,1641.78300
20141231,0.108364,6101.64400,0.085684,1782.45800
20151231,-0.015999,6004.02100,-0.037073,1716.37700
20161230,0.129455,6781.27500,0.104244,1895.29900
20171229,0.209026,8198.73600,0.184486,2244.95500
20181231,-0.061837,7691.75400,-0.081154,2062.76700
