"Date","FRED.DDURRA3A086NBEA - Value","FRED.DSERRA3A086NBEA - Value"
1929-01-01,2.679,6.719
1930-01-01,2.218,6.579
1931-01-01,1.916,6.412
1932-01-01,1.457,6.025
1933-01-01,1.419,5.801
1934-01-01,1.624,6.086
1935-01-01,1.965,6.299
1936-01-01,2.401,6.686
1937-01-01,2.526,7
1938-01-01,2.094,6.944
1939-01-01,2.481,7.214
1940-01-01,2.84,7.492
1941-01-01,3.276,7.936
1942-01-01,2.08,8.373
1943-01-01,1.867,9.041
1944-01-01,1.721,9.546
1945-01-01,1.912,10.059
1946-01-01,3.453,10.498
1947-01-01,4.051,10.539
1948-01-01,4.316,10.819
1949-01-01,4.667,11.079
1950-01-01,5.659,11.565
1951-01-01,5.188,12.25
1952-01-01,5.075,12.8
1953-01-01,5.668,13.329
1954-01-01,5.644,13.791
1955-01-01,6.847,14.482
1956-01-01,6.592,15.177
1957-01-01,6.652,15.702
1958-01-01,6.145,16.212
1959-01-01,6.869,17.024
1960-01-01,7.008,17.69
1961-01-01,6.773,18.338
1962-01-01,7.546,19.206
1963-01-01,8.241,20.025
1964-01-01,9.01,21.215
1965-01-01,10.127,22.393
1966-01-01,10.968,23.502
1967-01-01,11.131,24.465
1968-01-01,12.367,25.766
1969-01-01,12.83,26.907
1970-01-01,12.49,27.966
1971-01-01,13.745,28.935
1972-01-01,15.452,30.594
1973-01-01,17.068,32.041
1974-01-01,15.974,32.655
1975-01-01,16.012,33.884
1976-01-01,18.007,35.338
1977-01-01,19.621,36.798
1978-01-01,20.651,38.488
1979-01-01,20.546,39.666
1980-01-01,18.91,40.312
1981-01-01,19.099,40.939
1982-01-01,19.067,41.788
1983-01-01,21.79,43.934
1984-01-01,24.902,45.619
1985-01-01,27.393,47.953
1986-01-01,30.021,49.436
1987-01-01,30.607,51.673
1988-01-01,32.36,53.994
1989-01-01,33.07,55.71
1990-01-01,32.927,57.345
1991-01-01,31.153,58.242
1992-01-01,32.942,60.571
1993-01-01,35.411,62.444
1994-01-01,38.235,64.356
1995-01-01,39.744,66.241
1996-01-01,42.711,68.157
1997-01-01,46.197,70.34
1998-01-01,51.777,73.536
1999-01-01,58.419,76.332
2000-01-01,63.44,80.169
2001-01-01,66.76,81.959
2002-01-01,71.679,83.472
2003-01-01,76.847,85.349
2004-01-01,83.213,87.924
2005-01-01,87.825,90.778
2006-01-01,91.707,93.25
2007-01-01,96.105,95.04
2008-01-01,90.581,96.253
