observation_date,Nondurables,Services,Real per capita  consumption expenditure on nondurables and services ,Annual_Growth,AG_EOY
1/1/1947,3225,5057,8282,NA,NA
4/1/1947,3266,5107,8373,NA,NA
7/1/1947,3266,5073,8339,NA,NA
10/1/1947,3208,5023,8231,NA,NA
1/1/1948,3205,5055,8260,-0.002656363,NA
4/1/1948,3223,5114,8337,-0.004299534,NA
7/1/1948,3190,5119,8309,-0.003597554,NA
10/1/1948,3217,5146,8363,0.016036934,0.016036934
1/1/1949,3215,5157,8372,0.013559322,NA
4/1/1949,3211,5162,8373,0.0043181,NA
7/1/1949,3170,5129,8299,-0.001203514,NA
10/1/1949,3207,5121,8328,-0.004185101,-0.004185101
1/1/1950,3234,5162,8396,0.002866699,NA
4/1/1950,3260,5274,8534,0.019228472,NA
7/1/1950,3302,5333,8635,0.040486806,NA
10/1/1950,3214,5342,8556,0.027377522,0.027377522
1/1/1951,3260,5466,8726,0.039304431,NA
4/1/1951,3200,5481,8681,0.017225217,NA
7/1/1951,3252,5524,8776,0.016328894,NA
10/1/1951,3275,5512,8787,0.026998597,0.026998597
1/1/1952,3234,5557,8791,0.007449003,NA
4/1/1952,3297,5622,8919,0.027416196,NA
7/1/1952,3340,5672,9012,0.026891522,NA
10/1/1952,3374,5726,9100,0.035620803,0.035620803
1/1/1953,3382,5763,9145,0.040268456,NA
4/1/1953,3385,5810,9195,0.030945173,NA
7/1/1953,3338,5819,9157,0.016089658,NA
10/1/1953,3328,5749,9077,-0.002527473,-0.002527473
1/1/1954,3346,5778,9124,-0.002296337,NA
4/1/1954,3323,5854,9177,-0.001957586,NA
7/1/1954,3350,5929,9279,0.013323141,NA
10/1/1954,3390,5971,9361,0.03128787,0.03128787
1/1/1955,3411,6016,9427,0.033209119,NA
4/1/1955,3460,6036,9496,0.034760815,NA
7/1/1955,3467,6071,9538,0.027912491,NA
10/1/1955,3521,6161,9682,0.034291208,0.034291208
1/1/1956,3545,6194,9739,0.033096425,NA
4/1/1956,3522,6228,9750,0.026748104,NA
7/1/1956,3508,6264,9772,0.024533445,NA
10/1/1956,3519,6314,9833,0.015595951,0.015595951
1/1/1957,3525,6312,9837,0.010062635,NA
4/1/1957,3524,6340,9864,0.011692308,NA
7/1/1957,3557,6357,9914,0.014531314,NA
10/1/1957,3517,6397,9914,0.008237567,0.008237567
1/1/1958,3473,6365,9838,0.000101657,NA
4/1/1958,3491,6433,9924,0.006082725,NA
7/1/1958,3539,6492,10031,0.011801493,NA
10/1/1958,3571,6504,10075,0.016239661,0.016239661
1/1/1959,3603,6557,10160,0.03273023,NA
4/1/1959,3619,6629,10248,0.032648126,NA
7/1/1959,3618,6690,10308,0.027614395,NA
10/1/1959,3624,6741,10365,0.028784119,0.028784119
1/1/1960,3604,6748,10352,0.018897638,NA
4/1/1960,3631,6798,10429,0.017661983,NA
7/1/1960,3594,6761,10355,0.004559565,NA
10/1/1960,3580,6796,10376,0.001061264,0.001061264
1/1/1961,3587,6837,10424,0.006955178,NA
4/1/1961,3622,6911,10533,0.009972193,NA
7/1/1961,3609,6903,10512,0.015161758,NA
10/1/1961,3643,6995,10638,0.025250578,0.025250578
1/1/1962,3660,7036,10696,0.02609363,NA
4/1/1962,3662,7116,10778,0.02326023,NA
7/1/1962,3676,7149,10825,0.029775495,NA
10/1/1962,3682,7210,10892,0.023876669,0.023876669
1/1/1963,3690,7215,10905,0.019540015,NA
4/1/1963,3690,7271,10961,0.016979031,NA
7/1/1963,3710,7370,11080,0.023556582,NA
10/1/1963,3691,7442,11133,0.022126331,0.022126331
1/1/1964,3742,7538,11280,0.034387895,NA
4/1/1964,3802,7619,11421,0.041966974,NA
7/1/1964,3862,7691,11553,0.042689531,NA
10/1/1964,3856,7769,11625,0.04419294,0.04419294
1/1/1965,3882,7836,11718,0.038829787,NA
4/1/1965,3908,7934,11842,0.036861921,NA
7/1/1965,3954,8016,11970,0.036094521,NA
10/1/1965,4087,8126,12213,0.050580645,0.050580645
1/1/1966,4107,8189,12296,0.049325824,NA
4/1/1966,4135,8256,12391,0.046360412,NA
7/1/1966,4152,8298,12450,0.040100251,NA
10/1/1966,4127,8362,12489,0.02259887,0.02259887
1/1/1967,4164,8419,12583,0.023340924,NA
4/1/1967,4184,8479,12663,0.021951416,NA
7/1/1967,4169,8570,12739,0.023212851,NA
10/1/1967,4176,8617,12793,0.02434142,0.02434142
1/1/1968,4249,8732,12981,0.031629977,NA
4/1/1968,4291,8848,13139,0.037589829,NA
7/1/1968,4348,8937,13285,0.042860507,NA
10/1/1968,4337,9011,13348,0.0433831,0.0433831
1/1/1969,4376,9072,13448,0.035975657,NA
4/1/1969,4376,9163,13539,0.030443717,NA
7/1/1969,4380,9210,13590,0.022958224,NA
10/1/1969,4396,9297,13693,0.025846569,0.025846569
1/1/1970,4423,9374,13797,0.025951814,NA
4/1/1970,4407,9404,13811,0.02009011,NA
7/1/1970,4423,9479,13902,0.022958057,NA
10/1/1970,4460,9494,13954,0.019060834,0.019060834
1/1/1971,4464,9530,13994,0.014278466,NA
4/1/1971,4461,9598,14059,0.017956701,NA
7/1/1971,4439,9659,14098,0.014098691,NA
10/1/1971,4455,9780,14235,0.020137595,0.020137595
1/1/1972,4459,9922,14381,0.027654709,NA
4/1/1972,4569,10019,14588,0.037627143,NA
7/1/1972,4620,10128,14748,0.046105831,NA
10/1/1972,4695,10282,14977,0.052125044,0.052125044
1/1/1973,4713,10392,15105,0.050344204,NA
4/1/1973,4662,10457,15119,0.036399781,NA
7/1/1973,4673,10501,15174,0.028885273,NA
10/1/1973,4643,10515,15158,0.012085197,0.012085197
1/1/1974,4571,10478,15049,-0.003707382,NA
4/1/1974,4531,10559,15090,-0.001918116,NA
7/1/1974,4529,10584,15113,-0.004020034,NA
10/1/1974,4437,10663,15100,-0.003826362,-0.003826362
1/1/1975,4437,10740,15177,0.008505549,NA
4/1/1975,4524,10848,15372,0.018687873,NA
7/1/1975,4555,10869,15424,0.02057831,NA
10/1/1975,4532,10993,15525,0.028145695,0.028145695
1/1/1976,4614,11098,15712,0.035250708,NA
4/1/1976,4675,11148,15823,0.029339058,NA
7/1/1976,4699,11255,15954,0.034362033,NA
10/1/1976,4735,11381,16116,0.038067633,0.038067633
1/1/1977,4721,11491,16212,0.031822811,NA
4/1/1977,4710,11507,16217,0.024900461,NA
7/1/1977,4720,11599,16319,0.022878275,NA
10/1/1977,4807,11677,16484,0.02283445,0.02283445
1/1/1978,4817,11835,16652,0.02714039,NA
4/1/1978,4842,11982,16824,0.037429858,NA
7/1/1978,4865,12032,16897,0.035418837,NA
10/1/1978,4913,12059,16972,0.029604465,0.029604465
1/1/1979,4922,12151,17073,0.025282248,NA
4/1/1979,4900,12195,17095,0.016107941,NA
7/1/1979,4942,12207,17149,0.01491389,NA
10/1/1979,4953,12275,17228,0.015083667,0.015083667
1/1/1980,4937,12259,17196,0.007204358,NA
4/1/1980,4856,12147,17003,-0.005381691,NA
7/1/1980,4830,12246,17076,-0.004256808,NA
10/1/1980,4836,12394,17230,0.00011609,0.00011609
1/1/1981,4869,12341,17210,0.000814143,NA
4/1/1981,4879,12391,17270,0.015703111,NA
7/1/1981,4877,12346,17223,0.008608573,NA
10/1/1981,4883,12325,17208,-0.001276843,-0.001276843
1/1/1982,4881,12347,17228,0.001045904,NA
4/1/1982,4862,12403,17265,-0.000289519,NA
7/1/1982,4870,12490,17360,0.007954479,NA
10/1/1982,4908,12667,17575,0.02132729,0.02132729
1/1/1983,4914,12806,17720,0.028558161,NA
4/1/1983,4962,12942,17904,0.037011295,NA
7/1/1983,5025,13092,18117,0.043605991,NA
10/1/1983,5074,13193,18267,0.039374111,0.039374111
1/1/1984,5077,13230,18307,0.033126411,NA
4/1/1984,5178,13313,18491,0.03278597,NA
7/1/1984,5169,13453,18622,0.027874372,NA
10/1/1984,5196,13575,18771,0.027590737,0.027590737
1/1/1985,5218,13795,19013,0.038564484,NA
4/1/1985,5248,13898,19146,0.035422638,NA
7/1/1985,5278,14054,19332,0.038126947,NA
10/1/1985,5311,14140,19451,0.036226093,0.036226093
1/1/1986,5368,14165,19533,0.027349708,NA
4/1/1986,5404,14228,19632,0.025383892,NA
7/1/1986,5402,14322,19724,0.020277261,NA
10/1/1986,5433,14451,19884,0.022261066,0.022261066
1/1/1987,5430,14635,20065,0.02723596,NA
4/1/1987,5460,14754,20214,0.029645477,NA
7/1/1987,5451,14854,20305,0.0294565,NA
10/1/1987,5444,14961,20405,0.026201971,0.026201971
1/1/1988,5492,15138,20630,0.028158485,NA
4/1/1988,5524,15240,20764,0.027208865,NA
7/1/1988,5547,15418,20965,0.032504309,NA
10/1/1988,5591,15512,21103,0.034207302,0.034207302
1/1/1989,5605,15585,21190,0.027144935,NA
4/1/1989,5601,15614,21215,0.021720285,NA
7/1/1989,5642,15680,21322,0.017028381,NA
10/1/1989,5690,15786,21476,0.017675212,0.017675212
1/1/1990,5670,15836,21506,0.014912695,NA
4/1/1990,5659,15980,21639,0.019985859,NA
7/1/1990,5648,16053,21701,0.017775068,NA
10/1/1990,5571,15958,21529,0.002467871,0.002467871
1/1/1991,5557,15905,21462,-0.002045941,NA
4/1/1991,5572,16015,21587,-0.002403069,NA
7/1/1991,5561,16024,21585,-0.005345376,NA
10/1/1991,5495,16069,21564,0.001625714,0.001625714
1/1/1992,5560,16286,21846,0.017892088,NA
4/1/1992,5565,16360,21925,0.015657572,NA
7/1/1992,5577,16475,22052,0.021635395,NA
10/1/1992,5614,16601,22215,0.030189204,0.030189204
1/1/1993,5603,16614,22217,0.016982514,NA
4/1/1993,5630,16644,22274,0.015917902,NA
7/1/1993,5667,16778,22445,0.017821513,NA
10/1/1993,5688,16835,22523,0.013864506,0.013864506
1/1/1994,5749,16929,22678,0.020749876,NA
4/1/1994,5777,16999,22776,0.022537488,NA
7/1/1994,5808,17060,22868,0.018846068,NA
10/1/1994,5852,17109,22961,0.019446788,0.019446788
1/1/1995,5857,17185,23042,0.016050798,NA
4/1/1995,5869,17311,23180,0.01773797,NA
7/1/1995,5871,17385,23256,0.016966941,NA
10/1/1995,5884,17430,23314,0.015373895,0.015373895
1/1/1996,5907,17560,23467,0.018444579,NA
4/1/1996,5966,17614,23580,0.017256255,NA
7/1/1996,5989,17652,23641,0.016554868,NA
10/1/1996,6018,17691,23709,0.01694261,0.01694261
1/1/1997,6039,17801,23840,0.015894661,NA
4/1/1997,6025,17884,23909,0.013952502,NA
7/1/1997,6101,18040,24141,0.021149698,NA
10/1/1997,6125,18179,24304,0.025095955,0.025095955
1/1/1998,6153,18347,24500,0.027684564,NA
4/1/1998,6211,18536,24747,0.035049563,NA
7/1/1998,6236,18703,24939,0.033055797,NA
10/1/1998,6301,18759,25060,0.031105991,0.031105991
1/1/1999,6401,18861,25262,0.031102041,NA
4/1/1999,6443,18997,25440,0.028003394,NA
7/1/1999,6452,19146,25598,0.026424476,NA
10/1/1999,6564,19343,25907,0.033798883,0.033798883
1/1/2000,6490,19590,26080,0.032380651,NA
4/1/2000,6603,19777,26380,0.036949686,NA
7/1/2000,6628,19908,26536,0.036643488,NA
10/1/2000,6674,20034,26708,0.030918285,0.030918285
1/1/2001,6619,20092,26711,0.024194785,NA
4/1/2001,6635,20095,26730,0.013267627,NA
7/1/2001,6648,20077,26725,0.0071224,NA
10/1/2001,6687,20107,26794,0.003220009,0.003220009
1/1/2002,6697,20186,26883,0.006439295,NA
4/1/2002,6686,20256,26942,0.007931163,NA
7/1/2002,6685,20285,26970,0.009167446,NA
10/1/2002,6756,20371,27127,0.012428156,0.012428156
1/1/2003,6788,20405,27193,0.011531451,NA
4/1/2003,6823,20473,27296,0.013139336,NA
7/1/2003,6932,20575,27507,0.019911012,NA
10/1/2003,6963,20671,27634,0.018689866,0.018689866
1/1/2004,7002,20819,27821,0.023094179,NA
4/1/2004,7009,20919,27928,0.023153576,NA
7/1/2004,7045,21039,28084,0.020976479,NA
10/1/2004,7091,21195,28286,0.023594123,0.023594123
1/1/2005,7167,21262,28429,0.021853995,NA
4/1/2005,7183,21421,28604,0.024205099,NA
7/1/2005,7181,21558,28739,0.023322888,NA
10/1/2005,7285,21616,28901,0.021742205,0.021742205
1/1/2006,7329,21712,29041,0.021527314,NA
4/1/2006,7337,21820,29157,0.01933296,NA
7/1/2006,7354,21864,29218,0.016667247,NA
10/1/2006,7458,21969,29427,0.018200062,0.018200062
1/1/2007,7457,22035,29492,0.015529768,NA
4/1/2007,7425,22055,29480,0.011077957,NA
7/1/2007,7416,22093,29509,0.009959614,NA
10/1/2007,7392,22070,29462,0.001189384,0.001189384
1/1/2008,7335,22111,29446,-0.001559745,NA
4/1/2008,7370,22079,29449,-0.00105156,NA
7/1/2008,7255,22001,29256,-0.008573655,NA
10/1/2008,7128,21924,29052,-0.013916231,-0.013916231
1/1/2009,7119,21756,28875,-0.019391428,NA
4/1/2009,7053,21636,28689,-0.025807328,NA
7/1/2009,7063,21597,28660,-0.02037189,NA
10/1/2009,7083,21569,28652,-0.013768415,-0.013768415
1/1/2010,7127,21595,28722,-0.005298701,NA
4/1/2010,7148,21683,28831,0.004949632,NA
7/1/2010,7179,21749,28928,0.009351012,NA
10/1/2010,7256,21839,29095,0.015461399,0.015461399
1/1/2011,7278,21887,29165,0.015423717,NA
4/1/2011,7267,21937,29204,0.012937463,NA
7/1/2011,7234,22013,29247,0.011027378,NA
10/1/2011,7228,21973,29201,0.003643238,0.003643238
1/1/2012,7253,22002,29255,0.003085891,NA
4/1/2012,7247,21991,29238,0.001164224,NA
7/1/2012,7249,21959,29208,-0.00133347,NA
10/1/2012,7230,21945,29175,-0.00089038,-0.00089038
1/1/2013,7285,21912,29197,-0.001982567,NA
4/1/2013,7290,21910,29200,-0.001299679,NA
7/1/2013,7319,21940,29259,0.001746097,NA
10/1/2013,7368,22064,29432,0.008808912,0.008808912
1/1/2014,7373,22120,29493,0.010138028,NA
4/1/2014,7414,22198,29612,0.014109589,NA
7/1/2014,7453,22352,29805,0.018660925,NA
10/1/2014,7520,22565,30085,0.022186736,0.022186736
1/1/2015,7553,22718,30271,0.026379141,NA
4/1/2015,7587,22807,30394,0.026408213,NA
7/1/2015,7646,22874,30520,0.023989264,NA
10/1/2015,7672,22974,30646,0.018647166,0.018647166
1/1/2016,7710,23032,30742,0.015559446,NA
4/1/2016,7786,23152,30938,0.017898269,NA
7/1/2016,7772,23259,31031,0.016743119,NA
10/1/2016,7804,23333,31137,0.016021667,0.016021667
1/1/2017,7813,23442,31255,0.016687268,NA
4/1/2017,7882,23536,31418,0.015514901,NA
7/1/2017,7912,23555,31467,0.014050466,NA
10/1/2017,7998,23613,31611,0.015223047,0.015223047
