date,Mkt-RF,SMB,HML,RF
1927,29.47,-2.46,-3.75,3.12
1928,35.39,4.2,-6.15,3.56
1929,-19.54,-30.8,11.81,4.75
1930,-31.23,-5.13,-12.28,2.41
1931,-45.11,3.53,-14.29,1.07
1932,-9.39,4.67,10.15,0.96
1933,57.05,49.07,28.46,0.3
1934,3.02,25.44,-27.37,0.16
1935,44.96,10.05,9.81,0.17
1936,32.07,17.87,35.86,0.18
1937,-34.96,-14,-3.97,0.31
1938,28.48,9.35,-12.18,-0.02
1939,2.7,5.85,-19.17,0.02
1940,-7.14,0.79,-0.82,0
1941,-10.53,-4.04,11.13,0.06
1942,16.2,5.05,19.87,0.27
1943,27.96,33.35,38.97,0.35
1944,20.97,17.98,15.61,0.33
1945,38.38,25.56,11.4,0.33
1946,-6.73,-3.79,2.98,0.35
1947,2.95,-7.08,9.76,0.5
1948,1.07,-9.14,3.52,0.81
1949,19.12,3.93,-4.55,1.1
1950,28.82,0.93,27.01,1.2
1951,19.22,-4.93,-5.93,1.49
1952,11.8,-6.66,3.34,1.66
1953,-1.05,-1.16,-7.71,1.82
1954,49.35,-2.18,26.21,0.86
1955,23.75,-6.71,5.77,1.57
1956,5.9,-1.17,-1.6,2.46
1957,-13.16,-2.72,-6.39,3.14
1958,43.45,14.81,13.16,1.54
1959,9.76,5.43,1.86,2.95
1960,-1.46,-2.75,-4.88,2.66
1961,24.81,1.4,5.34,2.13
1962,-12.9,-8.25,8.8,2.73
1963,17.84,-5.88,15.66,3.12
1964,12.54,-0.99,9.86,3.54
1965,10.52,21.8,7.36,3.93
1966,-13.51,2.59,-0.68,4.76
1967,24.49,50.69,-8.57,4.21
1968,8.79,24.5,18.5,5.21
1969,-17.54,-13.98,-9.81,6.58
1970,-6.49,-11.79,22.34,6.52
1971,11.78,5.62,-11.3,4.39
1972,13.05,-11.95,1.75,3.84
1973,-26.18,-23.44,18.05,6.93
1974,-35.75,-0.6,9.74,8
1975,32.44,15.28,9.49,5.8
1976,21.91,14.69,24.5,5.08
1977,-8.26,22.93,7.48,5.12
1978,1.03,14.38,0.37,7.18
1979,13.09,21.69,-1.28,10.38
1980,22.13,5.57,-25.05,11.24
1981,-18.13,7.23,25.01,14.71
1982,10.66,8.89,13.59,10.54
1983,13.74,13.67,20.85,8.8
1984,-6.05,-8.31,19.63,9.85
1985,24.91,0.38,1.73,7.72
1986,10.12,-9.6,9.58,6.16
1987,-3.87,-11,-1.64,5.47
1988,11.55,5.9,14.77,6.35
1989,20.49,-12.72,-4.29,8.37
1990,-13.95,-14.19,-9.72,7.81
1991,29.18,16.13,-14.41,5.6
1992,6.23,7.58,24.28,3.51
1993,8.21,5.8,18.9,2.9
1994,-4.1,-1.07,-0.66,3.9
1995,31.22,-9.1,5.24,5.6
1996,15.96,-3.71,6.14,5.21
1997,25.96,-6.77,17.53,5.26
1998,19.46,-26,-8.86,4.86
1999,20.57,14.87,-31.7,4.68
2000,-17.59,-1.59,39.69,5.89
2001,-15.2,18.08,19.48,3.83
2002,-22.76,4.71,7.46,1.65
2003,30.75,26.17,5.33,1.02
2004,10.72,4.9,8.07,1.2
2005,3.09,-1.96,8.31,2.98
2006,10.6,0.24,14.1,4.8
2007,1.04,-7.19,-14.69,4.66
2008,-38.34,3.2,0.81,1.6
2009,28.26,9.23,-9.16,0.1
2010,17.37,13.8,-5.3,0.12
2011,0.44,-6.01,-8.45,0.04
2012,16.28,-1.15,9.73,0.06
2013,35.2,7.27,1.5,0.02
2014,11.7,-8.08,-1.64,0.02
2015,0.07,-4.05,-9.61,0.02
2016,13.3,6.6,22.89,0.2
2017,21.5,-4.77,-13.86,0.8
2018,-6.93,-3.32,-9.4,1.81
